asv	SRR3426343	SRR3426353	SRR3426354	SRR3426355	SRR3426358	SRR3426359	SRR3426363	SRR3426364	SRR3426366	SRR3426369	SRR3426370	SRR3426374	SRR3426375	SRR3426377	SRR3426388	SRR3426393	SRR3426394	SRR3426398	SRR3426400	SRR3426410	SRR3426417	SRR3426418	SRR3426421	SRR3426432	SRR3426436	SRR3426437	SRR3426441	SRR3426442	SRR3426443	SRR3426447	SRR3426448	SRR3426452	SRR3426453	SRR3426454	SRR3426459	SRR3426460	SRR3426464	SRR3426465	SRR3426466	SRR3426470	SRR3426471	SRR3426477	SRR3426488	SRR3426489	SRR3426490	SRR3426494	SRR3426499	SRR3426512	SRR3426513	SRR3426521	SRR3426530	SRR3426531	SRR3426532	SRR3426536	SRR3426541	SRR3426543	SRR3426546	SRR3426547	SRR3426624	SRR3426664	SRR3426665	SRR3426667	SRR3426677	SRR3426684	SRR3426688	SRR3426799	SRR3426803	SRR3426804	SRR3426807	SRR3426810	SRR3426812	SRR3426838	SRR3426842	SRR3426871	SRR3426875	SRR3426876	SRR3426877	SRR3426878	SRR3426879	SRR3426880	SRR3426882	SRR3426883	SRR3426884	SRR3426885	SRR3426888	SRR3426889	SRR3426894	SRR3426895	SRR3426902	SRR3426936	SRR3426937	SRR3426947	SRR3427000	SRR3427001	SRR3427052	SRR3427060	SRR3427082
85fa8dab504f38066b6e54b815fffe64	0	145	1610	0	0	193	0	12	131	13	953	0	415	0	0	10	4285	181	356	0	42	1863	234	0	0	2433	13043	26	4	21	741	0	1349	270	208	118	237	1558	0	4741	1450	1759	0	0	374	50	0	1019	0	28	1780	456	8596	0	0	0	1581	0	0	4862	0	32	273	1221	46	3	0	1864	119	0	1244	818	0	0	0	75	359	0	0	0	656	277	0	0	0	261	0	352	0	543	236	0	244	239	0	819	4716
5934de13e47467a5d66547108eec90bb	0	0	0	0	8	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	8	0	0	0	0	11	0	0	0	0	0	4	10546	0	59	0	0	0	0	0	0	0	18	4	0	12	0	0	7	0	0	0	479	0	0	183	0	116	8	0	0	0	3340	0	0	0	720	0	0	0	0	0	0	0	31983	23370	46	0	0	9	6	14	0	0	0	0	0	0	11	0	9	0	0	0
1ce66fb1827af5f2adae8234886eb918	0	5	7	0	9	0	15	2	8	0	6	2	5	154	117	11	0	0	0	0	0	0	5	504	14	7	10	0	104	27	6	0	11	8	0	13	0	4	0	7	10	0	3621	0	0	19	4257	0	3	0	4	3	0	0	7	159	21	6	239	0	8158	10	0	0	0	80	0	3	0	36	0	0	0	6	0	0	67	853	904	5628	2	0	20241	21936	19	8	0	0	0	0	0	20	21	0	959	0	0
e8a0381f526a71132007d7ff33fb8ab9	1456	31	741	28	61	81	623	5	871	7	1054	0	976	0	0	13	723	525	748	5333	206	745	16	0	592	340	136	991	0	5	297	79	100	341	534	244	12	735	146	255	775	2994	0	138	387	4159	0	199	477	50	1261	1422	920	1438	79	0	873	81	0	117	0	284	75	244	2191	0	9	362	1789	0	520	181	37	658	1533	8364	694	0	0	2	590	3032	0	0	49	537	1012	35	0	390	209	0	125	740	0	1100	396
7b0ec5be28c228e0c847b164367eb133	694	984	1125	281	1717	453	475	26	1295	1411	34	31	1207	0	0	94	874	895	136	9	28	456	5559	0	695	2063	59	371	0	583	575	152	75	123	80	135	6126	528	1037	311	441	2743	0	208	0	4	0	409	1341	7	263	138	297	198	0	0	102	0	0	235	0	276	277	174	193	0	253	87	401	0	73	48	173	339	90	619	664	0	0	0	150	59	0	0	2559	267	12	884	4031	935	52	5	628	506	0	229	3260
aeadb4394b8625a94a5c5779bf58a1f3	159	312	144	591	848	1416	254	0	4267	307	396	76	1091	0	0	0	2475	1233	788	92	573	375	249	0	270	4090	161	283	0	0	160	5	1104	743	695	344	103	637	29	176	667	356	8	247	832	281	3	1849	1038	628	399	1904	63	270	990	0	166	1091	0	747	0	340	70	307	1027	0	74	452	527	0	390	460	67	1831	2311	694	432	0	0	0	480	1041	0	0	8	1613	8	460	341	1170	567	3	1117	495	0	174	126
5d04060b9301a5f7107bad2aa51a242f	0	0	423	0	0	104	0	0	998	0	35	0	3014	0	0	0	765	0	1731	0	0	1056	4662	0	0	0	0	0	0	0	0	0	1079	352	0	967	0	1297	0	0	4549	0	0	0	0	0	0	0	0	0	0	8148	1642	0	0	0	0	0	0	0	0	1921	0	0	326	0	0	0	0	0	0	0	0	0	0	0	2253	0	0	0	0	6078	0	0	0	306	0	297	0	2069	375	0	0	4443	0	0	2379
cdb8938d9f4926615fcfe1bd30da1ccf	0	17	215	0	0	44	137	0	227	0	397	0	123	0	0	0	20	0	68	0	5	7875	174	0	0	0	28	0	0	0	0	0	366	133	1166	83	420	108	0	0	53	12193	0	5	274	0	0	0	158	0	10785	0	21	0	0	0	0	0	0	0	0	138	0	204	28	0	0	1713	255	0	319	888	0	0	0	4814	392	0	0	0	0	23	0	0	0	5	0	98	1823	359	0	0	0	150	0	0	0
b75ab83f907fa2591aa2994c665e66d1	0	0	0	86	80	0	0	0	306	81	34	0	88	6	0	0	0	0	0	0	0	0	0	0	2407	0	0	1642	0	3137	5291	100	0	216	1250	55	0	1205	0	0	0	0	0	0	1444	0	0	0	310	114	0	0	105	1059	3993	0	0	3936	0	0	0	120	2368	443	0	0	0	0	47	0	90	281	0	67	0	9900	187	0	0	0	0	31	0	0	0	60	0	0	1560	0	29	0	0	187	0	0	0
713d855bc60d7bfe506ce8769b6eee4c	387	1870	75	93	1261	256	319	8	362	341	1180	0	554	0	0	278	202	154	66	754	15	505	3497	0	0	311	548	104	0	639	333	39	53	115	200	136	1210	31	3100	1565	17	2815	0	1677	0	294	0	45	64	44	651	70	762	58	0	0	102	0	0	28	0	290	181	261	121	0	701	142	27	0	144	203	703	207	94	562	314	2	0	0	3048	112	0	0	438	12	1711	428	801	542	43	0	1573	50	0	137	2161
