ASV	SRR20752627	SRR20752628	SRR20752629	SRR20752630	SRR20752631	SRR20752632	SRR20752633	SRR20752634	SRR20752635	SRR20752636	SRR20752637	SRR20752638	SRR20752639	SRR20752640	SRR20752641	SRR20752642	SRR20752643	SRR20752644	SRR20752645	SRR20752646	SRR20752647	SRR20752648	SRR20752649	SRR20752650	SRR20752651	SRR20752652	SRR20752653	SRR20752654	SRR20752655	SRR20752657	SRR20752658	SRR20752659	SRR20752660	SRR20752661	SRR20752662	SRR20752663	SRR20752664	SRR20752665	SRR20752667	SRR20752668	SRR20752669	SRR20752670	SRR20752671	SRR20752672	SRR20752673	SRR20752674	SRR20752675	SRR20752677	SRR20752678	SRR20752679	SRR20752680	SRR20752681	SRR20752682	SRR20752683	SRR20752685	SRR20752686	SRR20752687	SRR20752688	SRR20752689	SRR20752690	SRR20752691	SRR20752692	SRR20752694	SRR20752695	SRR20752697	SRR20752698
dc115e1aa5e09c45a18d034a285e83d2	0	0	0	0	0	0	0	5767	0	0	0	0	0	0	12	0	0	0	13864	21	0	0	3	0	0	0	0	4	0	11	0	1119	138	0	9	2288	0	10	0	0	0	0	0	0	13	0	1555	13	13	0	0	8	11	0	23	4353	0	0	0	0	245	407	491	492	15613	5409
0ec824ed16d0e1556b2deaf9d22bf8c2	0	0	0	429	108	291	412	0	287	220	91	95	670	333	233	83	169	613	0	244	137	413	742	254	267	302	262	374	269	1443	1993	0	0	0	0	0	0	0	218	1857	596	572	293	285	880	862	0	2732	235	2243	2130	2662	3419	511	5655	0	1824	615	2715	7892	0	0	0	0	0	0
ee3aff7f5f0fc1801900898bc1eca1fd	230	48	479	1061	340	804	1170	0	566	1505	693	815	996	1335	1379	732	587	553	0	977	471	822	585	478	452	998	508	1237	942	2838	1219	0	0	450	159	0	107	1539	94	1290	2326	1071	2309	4824	3158	112	0	1619	1613	201	597	767	0	0	56	0	0	0	0	43	0	0	0	0	0	7
b86f1e5cae792b7ac505ce9ccbfba3e2	137	943	248	227	197	369	168	0	171	712	248	181	357	743	655	619	1868	704	0	258	592	714	305	732	756	991	718	938	226	401	620	50	3677	221	234	0	215	329	123	551	416	990	829	600	1298	2078	0	141	1466	713	1256	900	412	844	148	0	29	1022	252	175	4622	898	198	1669	0	0
01fdcebdc5b9e2fb20715e5d7a9f93a7	16	108	28	101	51	39	284	5	22	155	10	13	5210	8657	1153	653	141	498	3	2179	68	2770	569	137	210	407	173	366	2118	2194	1242	0	0	80	88	5	311	395	56	1384	598	866	2374	584	289	80	0	0	1510	16	71	273	0	730	145	6	0	47	536	155	0	25	0	212	0	0
c68a46e81efa5ffa65263ea77ae4172b	146	0	0	125	355	99	130	0	129	166	208	271	219	106	108	0	800	153	0	193	22	699	1605	584	665	2114	495	2033	172	45	2142	0	0	0	0	0	14	48	2231	2366	8187	4161	701	109	445	320	0	78	4265	176	214	431	316	0	173	0	9	10	336	642	0	6	0	0	0	0
f67e411f58e8f2683dc833af9bef4afa	0	0	0	0	0	0	0	2774	0	0	0	10	0	0	0	0	0	0	888	10	0	0	0	0	0	0	0	0	0	9	8	31	61	0	0	6766	0	14	0	0	0	13	8	0	0	0	6305	0	0	0	12	0	10	0	0	8678	14	0	42	0	0	917	1769	1757	1993	3737
fb59171e11dbdb4821b6b492dc722e6b	0	12	9	0	7	10	6	27465	0	0	0	0	0	0	0	0	0	0	371	0	0	8	0	7	14	0	0	0	0	0	0	26	9	0	0	1932	0	0	0	0	0	0	0	7	0	0	3653	0	0	0	0	0	0	0	0	64	0	7	0	0	5	177	7	8	267	65
aac67a22ac5be30f0bef04d3c4683bdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1912	0	0	0	0	0	0	0	0	0	0	0	0	25087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3350	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	323	1681	1586	0
5ee26202b4c172e0a1fd1f26d63f4fd5	0	0	14	54	17	0	0	0	91	0	69	80	0	0	86	15	134	0	0	43	9	0	0	0	0	205	0	175	0	0	48	7149	4674	0	201	0	17	0	1852	38	0	611	0	0	0	0	0	0	21	30	35	0	600	0	0	0	60	0	47	0	3936	8139	978	1837	0	0
