ASV	SRR13983674	SRR13983675	SRR13983676	SRR13983677	SRR13983678	SRR13983679	SRR13983680	SRR13983681	SRR13983682	SRR13983683	SRR13983684	SRR13983685	SRR13983686	SRR13983687	SRR13983688	SRR13983689	SRR13983690	SRR13983691	SRR13983692	SRR13983693	SRR13983694	SRR13983695	SRR13983696	SRR13983697	SRR13983698	SRR13983699	SRR13983700	SRR13983701	SRR13983702	SRR13983703	SRR13983704	SRR13983705	SRR13983706	SRR13983707	SRR13983708	SRR13983709	SRR13983710	SRR13983711	SRR13983712	SRR13983713	SRR13983714	SRR13983715	SRR13983716	SRR13983717	SRR13983718	SRR13983719	SRR13983720	SRR13983721	SRR13983722	SRR13983723	SRR13983724	SRR13983725	SRR13983726	SRR13983727	SRR13983728	SRR13983729	SRR13983730	SRR13983731	SRR13983732	SRR13983733	SRR13983734	SRR13983735	SRR13983736	SRR13983737	SRR13983738	SRR13983739	SRR13983740	SRR13983741	SRR13983742	SRR13983743	SRR13983744	SRR13983745	SRR13983746	SRR13983747	SRR13983748	SRR13983749	SRR13983750	SRR13983751	SRR13983752	SRR13983753	SRR13983754	SRR13983755	SRR13983756	SRR13983757	SRR13983758	SRR13983759	SRR13983760	SRR13983761	SRR13983762	SRR13983763	SRR13983764	SRR13983765	SRR13983766	SRR13983767	SRR13983768	SRR13983769	SRR13983770	SRR13983771	SRR13983772	SRR13983773	SRR13983774	SRR13983775	SRR13983776	SRR13983777	SRR13983778	SRR13983779	SRR13983780	SRR13983781	SRR13983782	SRR13983783	SRR13983784	SRR13983785	SRR13983786	SRR13983787	SRR13983788	SRR13983789	SRR13983790	SRR13983791	SRR13983792	SRR13983793	SRR13983794	SRR13983795	SRR13983796	SRR13983797	SRR13983798	SRR13983799	SRR13983800	SRR13983801	SRR13983802	SRR13983803	SRR13983804	SRR13983805	SRR13983806	SRR13983807	SRR13983808	SRR13983809	SRR13983810	SRR13983811	SRR13983812	SRR13983813	SRR13983814	SRR13983815	SRR13983816	SRR13983817	SRR13983818	SRR13983819	SRR13983820	SRR13983821	SRR13983822	SRR13983823	SRR13983824	SRR13983825	SRR13983826	SRR13983827	SRR13983828	SRR13983829	SRR13983830	SRR13983831	SRR13983832	SRR13983833	SRR13983834	SRR13983835	SRR13983836	SRR13983837	SRR13983838	SRR13983839	SRR13983840	SRR13983841	SRR13983842	SRR13983843	SRR13983844	SRR13983845	SRR13983846	SRR13983847	SRR13983848	SRR13983849
b17f82164201f32a71bd854e5b81f9a5	12	106	0	28	0	3	385	35	92	5	36	0	0	27	18	760	68	16	0	194	6	0	0	0	181	43	27	2536	1295	37	0	0	0	10	6	0	65	300	273	79	39	106	49	20	0	18	14	0	48	5	0	0	0	0	0	8	173	0	170	144	106	148	0	121	151	166	112	103	0	0	34	58	44	75	84	94	63	0	94	0	144	95	0	31	137	180	73	116	147	218	0	0	0	67	237	0	34	0	69	11	1155	129	0	0	595	201	21	21	0	0	2340	984	0	18	102	558	199	0	2125	0	1205	55	0	166	56	58	44	14	35	0	45	0	271	0	121	110	71	35	50	0	23	0	109	0	0	44	96	64	46	6759	140	42	215	53	111	169	316	147	51	105	78	10	79	41	335	73	55	0	49	53	58	168	0	98	64	67
0abda116dad229fcfd5f02fda3b9ebd2	0	0	0	21	465	925	0	0	0	0	0	0	0	0	0	0	44	0	130	6065	352	0	0	0	0	0	0	0	0	0	1502	46	1387	3069	0	0	1070	2051	3737	55	8	0	39	940	0	0	0	0	104	0	12	155	5553	211	58	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975	1666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3d72dbe67daef6f3bbc4814eac173220	0	331	208	819	1031	1242	1285	317	712	311	483	0	18	579	860	0	33	327	715	768	37	0	0	0	0	768	301	0	0	820	389	707	705	714	23	444	366	508	406	1205	159	981	989	620	783	0	423	361	605	421	526	676	428	462	555	1837	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	114	202	0	0	8	517	9	0	0	27	352	0	0	0	0	671	0	20	7	0	0	0	30	0	0	0	197	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	99	0	0	0	11	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
b4b0025414272928267a7297232cf294	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	47	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	10390	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	153	1228	191	0	0	0	0	2297	0	0	61	0	0	0	0	0	0	0	12743	0	0	0	0	0	0	0	0	11	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1825	0	0	0	0	0	0	0	0
ce5c926dcb0052db45049d833d637f49	0	0	215	523	202	0	0	0	0	0	0	265	0	0	346	0	154	561	180	0	0	0	0	0	0	97	0	0	0	81	138	884	36	139	0	0	194	0	90	100	0	0	0	0	121	34	0	0	645	0	914	0	562	308	123	543	0	783	0	0	0	498	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	141	69	0	640	5128	118	1008	0	346	0	811	1455	290	350	0	0	0	0	0	0	0	29	0	2482	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	55	50	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	2067	0	0	0	0	0	277	0	0
8d769bbe8193eb5bdb5fdf4a8026eb5b	1037	30	8	0	0	0	0	0	0	130	0	0	0	0	0	161	7	0	0	0	0	0	0	0	245	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	49	0	267	85	148	0	158	94	129	74	140	74	0	106	52	167	50	136	402	70	388	140	121	0	48	181	88	89	74	58	329	156	85	65	0	0	0	0	21	0	160	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	40	0	0	0	0	0	581	0	269	178	159	211	266	169	194	187	34	168	0	113	48	0	148	126	54	124	132	95	107	0	84	122	44	106	0	105	252	345	570	179	145	0	241	440	254	855	2034	486	343	162	216	304	0	647	615	1620	1237	1785	772	125	250
1dac051ced0cd2c0966968cbe78406c9	0	10877	0	0	0	0	0	449	0	43	0	0	0	0	0	12	83	0	229	0	0	0	0	9982	0	0	0	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	77	0	0	0	0	0	0	17	0	0	0	0	3	0	0	42	10	101	0	0	0	23	0	9	0	0	0	0	0	0	16	86	0	49	21	9	0	26	18	9	0	24	52	16	46	0	0	0	0	0	258	0	256	0	0	0	0	0	63	0	15	6	0	8	0	0	0	0	0	0	12	0	0	0	0	0	0	0	20	0	0	0	9	0	0	0	7	0	0	17	0	20	160	0	0	0	301	0	33	0	0	0	15	0	0	0	0	18	0	0	23	0	0	0	0	0	0	0	0	0	0	11	0	0	0	19	0	0	9	0	0	0	0
b46c44242d4d360359b98c21eb082727	0	68	563	60	0	0	0	449	202	0	0	0	0	0	0	0	28	0	342	0	33	1033	0	0	0	358	1355	0	0	0	122	0	0	0	0	2556	318	68	112	0	0	941	368	878	0	0	0	0	0	0	267	79	109	98	0	0	104	0	244	62	88	0	46	243	133	167	427	0	0	0	0	131	0	0	31	0	0	36	45	0	191	332	0	0	156	211	81	77	56	177	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	93	82	432	0	0	183	42	0	0	351	185	139	103	187	86	0	32	0	192	151	55	0	130	112	225	65	0	325	103	539	96	340	478	0	349	356	200	437	0	293	215	150	1373	93	0	97	79	45	478	76	14	202	69
008a3171a9d724c903b0f29548a1504b	5	0	0	16	0	0	0	0	0	7	0	260	7	0	0	5	39	0	0	27	0	0	0	0	3	0	0	0	0	0	0	5	0	0	717	0	0	0	2	0	0	0	0	0	0	12	25	8	8	0	0	0	0	9	0	0	27	5298	72	32	39	0	54	125	46	161	553	33	4030	80	18	89	118	67	18	64	125	38	31	1260	50	34	55	80	81	53	165	47	53	27	319	0	224	13	7	5	13	0	0	0	61	0	11	95	0	9	0	8	790	0	5	6	6	6	12	42	37	62	8	0	0	0	427	35	13	35	13	27	54	64	34	0	55	4262	20	54	99	11	63	41	73	58	47	67	22	38	100	45	14	0	5	0	19	5	12	0	13	10	9	0	33	0	16	0	0	16	11	762	63	0	12	33	10	13	12	0
81e4a6d129e3556d69104f3c5790f050	0	10	12	384	10	3	86	57	70	7	62	2	1273	447	2015	99	0	25	20	76	0	258	0	10	245	142	386	643	194	18	10	67	0	13	21	0	82	213	829	101	52	84	6	43	78	4	52	1035	1660	18	18	140	36	138	37	8	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884	0	0	0	0	0	0	0	0	0	0	3076	0	0	0	367	205	0	0	5	531	305	37	247	23	115	148	22	240	0	615	270	674	435	229	439	483	148	481	168	0	76	0	12	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f53693ef32ffbc9cb9f83ead589f7f1	0	13	25	6	0	0	338	0	0	0	20	36	0	0	120	1778	147	191	0	108	1073	85	0	0	1483	83	27	243	558	0	0	18	0	0	0	0	7	0	9	0	0	0	0	0	18	0	7	0	73	1181	7	0	0	23	0	33	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	161	0	0	39	0	76	0	0	0	136	1459	90	1123	1231	192	728	662	344	0	0	691	907	490	105	812	1395	1291	51	367	0	514	0	48	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	264	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13af584f0d19a17cfc674447f1201f1c	0	0	687	162	720	1005	144	0	0	112	257	183	0	1243	584	0	0	1090	51	55	174	0	0	0	0	787	12	136	19	0	0	112	144	1626	111	0	822	321	241	156	85	87	178	183	1999	0	53	449	251	590	116	0	0	0	30	499	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	135	0	0	12	0	0	0	6	24	720	35	0	58	577	0	460	890	45	0	1294	0	0	258	0	13	103	0	0	0	0	40	0	415	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91cd8540fde68b02eeb812b50529b5b8	0	0	0	0	30	120	79	0	65	0	0	0	0	204	369	1968	158	1029	34	0	0	342	0	0	0	0	0	1563	171	91	0	0	9	15	31	5	0	0	0	21	10	0	12	0	0	0	0	179	134	762	0	131	0	0	10	239	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	155	1637	41	0	0	0	253	738	818	635	517	76	0	0	487	0	336	0	0	0	0	83	819	251	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	1543	0	0	0	0	0	44	3455	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	35	0	0
