asv	SRR2085804	SRR2085805	SRR2085806	SRR2085807	SRR2085813	SRR2085814	SRR2085819	SRR2085820	SRR2085821	SRR2085822	SRR2085827	SRR2085828	SRR2085831	SRR2085832	SRR2085833	SRR2085834
8b0285f16cfd2b108b86328ce10441db	67	0	0	16	0	269	0	0	0	69	0	0	0	0	0	0
94bd0096acae302e64524376dc616f54	28	0	0	0	0	0	0	0	152	110	0	0	0	0	0	128
ddecc149ab48b57c5b94ba0f28cd2321	0	0	95	0	50	0	52	49	166	0	0	0	0	0	0	0
bef0634d6f15e1940691ae4227113e59	138	0	154	0	0	0	0	0	0	0	0	0	0	53	28	38
9e79422ffab22345073707e9aad604e1	0	0	0	0	32	7	36	0	0	0	57	195	0	81	0	0
5c4435895af0f7871c295c9cf50bbfd6	118	0	0	70	0	0	0	219	0	0	0	0	0	0	0	0
63e6700915d2ab1685a78a18d068581f	0	0	0	0	0	0	47	296	0	0	53	10	0	0	0	0
2d56dc5d70ef22027169dc43b2a781f7	0	0	0	0	0	0	0	271	0	79	0	56	0	0	0	0
e804bafc00a9e17cb4cd7b47075a2cab	0	0	0	134	0	0	0	0	0	67	0	0	0	0	83	121
3fd03856bc83417acf53406be40f8803	61	0	0	0	88	0	44	0	0	49	0	88	38	0	0	36
6f1691256b109d19cd2b95c99d08d07b	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	4
e1055e00aa59c99d181874458b0e375e	118	0	97	102	0	0	0	0	0	0	0	0	0	0	32	21
7fcdb289b12426f5e167edbc6f15dd51	98	0	0	0	0	0	0	0	155	84	0	28	0	0	0	0
b6a75ba2cac16bb3ed90503f57248e19	36	0	0	0	0	14	0	0	276	0	0	38	0	0	0	0
c3ff0ebffc3ddfc33ba0fd0946c28433	43	25	0	63	0	0	26	27	99	0	0	0	0	36	36	0
358fa0a9b98a7fde238f1d0ae66385d2	13	30	24	34	0	0	0	125	29	8	0	29	0	0	42	21
ffc262cb9fe727dd51525c2477c9269c	175	0	0	38	0	0	0	0	0	0	0	0	0	0	140	0
4169ba51776f69cdf0f4445cf18dfae0	48	17	15	21	135	0	0	0	0	22	0	0	9	0	45	40
06af59873dbed4628c32438b335719cd	19	0	0	0	0	0	0	0	41	258	0	0	0	0	0	29
78d1c7a57d8928cc11f36c9423934089	0	0	0	0	0	0	180	97	0	0	0	0	68	0	0	0
da1f11cb2b297a369eb96a3def18cba3	74	0	239	28	0	0	0	0	0	0	0	0	0	0	0	0
ab1bb09d3a83adda88d632e52c5baa8b	202	0	106	0	0	0	0	0	28	0	0	0	0	0	0	0
ac73af9fcacbcbd64af1d28d61c89352	142	0	66	0	0	0	0	0	34	0	0	0	0	0	69	25
3075afa79c059d2d2dee815b02f91dec	117	0	42	0	0	0	10	65	101	0	0	0	0	0	0	0
9ca0dcd3775e0514094a863720e51f0b	0	0	0	0	0	0	0	0	186	97	51	0	0	0	0	0
a8376f2074d1794f539e779ae3b1f0ba	0	0	0	0	53	0	30	30	0	0	111	0	0	102	0	0
83a6e0f2572a8e7db395ba3d0f5254b0	44	0	23	0	0	0	43	69	0	0	22	35	29	60	0	0
1be5b1604848f95ed2ac64987ef5e7fe	36	0	24	41	17	9	27	0	16	9	52	22	7	9	19	35
538937d676c1bd7c769a9ac1c347f3c6	0	0	28	30	27	11	38	67	0	0	73	48	0	0	0	0
46aafd3977d97244bffbea1fbb17d652	72	44	38	32	70	30	0	0	0	0	0	0	0	0	34	0
6638c247e1f7ba869acb87965fc9aa1e	47	0	0	0	0	13	0	45	0	0	108	51	16	0	40	0
385e9ca2aa9d08c0f9e82bc6398cdba8	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	94
ee7ddac324f5d6b2085cf62c1d6ee65e	94	0	87	0	0	0	0	0	0	0	0	0	0	51	85	0
d3e4769708953ba172fe5404f006c34e	83	0	0	0	72	0	162	0	0	0	0	0	0	0	0	0
83c59525b453cc4d202d7fba29c8478a	103	35	75	0	0	0	0	0	43	0	0	23	0	0	18	15
490a088b13e4ef26df0223b47f2ee421	48	128	38	46	0	0	0	0	0	21	0	0	0	0	29	0
004e7f7f6b5c5fbc58391da376827571	32	15	23	59	0	0	0	0	28	68	0	0	19	0	0	64
061b47b6339a0f51e84662a319019174	0	0	0	0	45	38	67	48	0	0	30	13	18	47	0	0
e38f5f1d42081bd1d03bbc75978e2603	59	78	91	0	0	0	0	0	34	43	0	0	0	0	0	0
db7dda1253fb8d645f7f91149e81a8a4	63	0	0	105	0	0	0	0	0	41	33	0	0	0	60	0
4e51f0b091cc37747fed5c1a4b549a7b	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	94
95c0dd65a0c20cf8754514e2a74e837c	20	0	27	27	0	0	116	68	0	0	0	41	0	0	0	0
6974ba3bf31c876f5193140849da7df1	20	17	30	40	0	24	12	28	20	20	14	21	16	0	36	0
85c318f698d02eef34af8ba63843dd41	0	80	59	0	40	0	0	0	62	0	0	0	0	0	0	56
962c6711123ba826b32cebfa6d1b1d00	0	0	0	0	0	0	0	0	101	92	35	0	0	0	0	65
785a8c7476c067d8d8803340068474ec	12	0	59	77	0	0	0	0	83	0	0	0	0	0	13	43
06f3e43f921c72020b7c0af4eb17590a	0	0	0	0	0	17	31	54	0	0	71	22	26	65	0	0
31e61d136066a802483dd06912f0920c	33	10	12	58	22	0	0	13	0	0	0	10	33	0	72	21
c014aa77b20e551bcb2feaf38a84b09a	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	63
5166290ee627a0facf6a648e4d18fc6f	0	64	0	0	55	0	93	40	0	0	0	0	0	30	0	0
3f443d32c05a1202021a64c68a86371a	0	0	0	13	48	7	27	9	0	0	95	0	69	13	0	0
cbe17f7967c023e5d5990c9e66efef3b	0	0	0	0	21	0	43	28	0	0	50	49	29	58	0	0
69e587f1418f6c259062caa7b2c62722	0	0	77	0	0	0	0	0	0	19	0	45	0	0	0	133
