time,reactor,DON,DOM,ZEN ,aZEL ,bZEL 
144,4,1.25,1.25,0.25,0.5,0.5
144,8,1.25,1.25,0.25,0.5,0.5
144,12,1.25,1.25,0.25,0.5,0.5
168,4,292.726,22.083,26.144,7.071,5.238
168,8,231.181,25.27,43.43,9.877,7.32
168,12,291.074,21.194,32.062,10.879,5.259
192,4,360.26,77.258,36.591,10.554,6.797
192,8,346.098,92.176,52.217,11.511,9.698
192,12,431.114,73.614,55.293,17.94,11.545
216,4,309.055,204.649,54.412,10.749,6.716
216,8,228.38,272.009,72.543,15.007,11.328
216,12,335.996,280.306,54.1,14.768,7.826
240,4,78.46,506.016,58.423,13.337,9.955
240,8,32.648,497.462,79.704,20.182,15.568
240,12,8.306,633.24,58.127,16.542,9.25
264,4,1.25,551.257,69.835,19.49,12.301
264,8,1.25,545.289,67.573,15.695,11.494
264,12,1.25,539.55,58.814,15.31,9.301
288,4,1.25,599.587,64.633,22.642,10.286
288,8,1.25,484.526,69.615,17.297,10.941
288,12,14.041,556.626,71.054,18.5,10.744
312,4,1.25,605.945,63.932,27.633,11.207
312,8,10.787,540.679,55.966,13.063,9.182
312,12,2.754,595.873,78.464,27.937,13.218
144,3,1.25,1.25,0.25,0.5,0.5
144,7,1.25,1.25,0.25,0.5,0.5
144,11,1.25,1.25,0.25,0.5,0.5
168,3,255.162,17.445,34.49,7.674,4.172
168,7,285.701,14.298,31.201,8.656,5.397
168,11,658.511,22.574,89.422,10.975,6.566
192,3,347.207,35.942,40.368,7.447,5.08
192,7,377.234,44.814,48.279,9.164,5.841
192,11,388.341,50.668,39.305,8.286,6.482
216,3,360.765,123.072,76.549,12.414,7.841
216,7,298.603,150.461,64.456,12.217,8.896
216,11,427.216,132.798,49.621,7.395,6.022
240,3,144.013,396.52,71.284,9.829,6.953
240,7,61.14,444.347,83.189,15.589,11.484
240,11,47.945,544.855,62.653,10.017,6.529
264,3,1.25,516.472,85.069,12.053,7.297
264,7,1.25,500.341,83.191,19.384,12.739
264,11,1.25,603.616,69.497,11.63,5.896
288,3,1.25,483.504,70.884,10.364,5.389
288,7,1.25,514.439,78.681,20.139,8.738
288,11,1.25,647.732,60.36,10.029,4.852
312,3,1.25,551.784,93.003,13.958,6.717
312,7,1.25,568.557,65.711,13.401,6.773
312,11,1.25,684.199,65.898,11.68,6.051
