time,reactor,ENA,ENA1,ENB,ENB1,BEA
144,2,0.03,0.15,0.58,0.33,0.02
144,7,0.03,0.14,0.66,0.35,0.01
144,12,0.04,0.26,0.96,0.58,0.02
168,2,4.91,3.51,1.31,1.91,27.89
168,7,7.78,5.82,1.56,3.02,36.44
168,12,5.28,4.05,1.44,2.3,25.71
192,2,9.56,6.78,1.95,3.48,52.06
192,7,12.48,8.96,2.09,4.56,67.04
192,12,15.5,10.95,2.54,5.35,75.13
216,2,8.3,6.22,1.72,3.18,47.05
216,7,9.85,7.28,1.64,3.7,60.73
216,12,10.76,7.54,1.71,3.79,63.4
240,2,10.56,7.75,2.02,3.89,64
240,7,12.56,8.69,1.97,4.05,69.71
240,12,21.19,14.41,2.62,6.36,118.72
264,2,16.05,11.13,2.39,5.05,87.45
264,7,0.05,0.25,1.09,0.58,0.05
264,12,15.96,11.02,2.29,5,86.34
288,2,17.84,13.36,3.09,6.22,93.47
288,7,12.86,8.96,2.05,4.11,75.77
288,12,13.92,9.41,1.98,4.38,76
312,2,14.45,10.09,2,4.62,77.74
312,7,12.15,9.05,2.35,4.21,65.36
312,12,15.39,10.39,1.48,3.94,93.76
144,1,0.03,0.15,0.64,0.37,0.01
144,10,0.04,0.2,0.67,0.45,0.05
144,11,0.04,0.18,0.77,0.46,0.02
168,1,8.63,5.92,1.51,2.9,38.54
168,10,3.53,2.64,0.85,1.48,20.62
168,11,4.73,3.5,1.11,1.92,25.14
192,1,15.16,10.79,3.1,5.5,63.42
192,10,11.19,7.72,1.6,3.67,55.56
192,11,14.05,9.07,1.97,4.12,69.58
216,1,9.63,7.19,2.18,4.06,46.43
216,10,4.44,3.13,0.87,1.7,26.58
216,11,10.27,7.77,1.68,3.6,55.09
240,1,6.51,4.52,1.68,2.57,35.42
240,10,10.96,7.32,1.96,3.43,56.81
240,11,17.26,10.52,2.17,4.68,118.61
264,1,10.87,7.56,2.29,3.93,54.27
264,10,8.83,6.41,1.85,3.12,42.03
264,11,23.4,13.67,2.47,5.27,134.36
288,1,4.65,3.41,1.44,2.01,27.79
288,10,9.64,6.69,1.81,3.25,59.4
288,11,10.3,6.41,1.76,3.03,63.15
312,1,5.4,4.18,1.73,2.39,31.89
312,10,5.27,3.87,1.34,2.06,30.15
312,11,14.09,9.81,2.35,4.55,71.25
