asv,domain,domain_conf,phylum,phylum_conf,class,class_conf,order,order_conf,family,family_conf,genus,genus_conf
ed49fe1ba47d800aea6feee2e3fbcdf6,Bacteria,1,NA,0.76,NA,0.71,NA,0.34,NA,0.34,NA,0.34
bafdb3bbc5337712ccd7571a91f81717,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.98,Bacteroidales,0.98,Prevotellaceae,0.96,NA,0.48
d5b0a6ac815e290e7a708490a9d280de,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,NA,0.33
86bd9036758b4f0f5d9475bbf66a24b2,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,NA,0.36
110f23b07d4be20e52eb5f01b1ca1ca1,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.99,NA,0.51
e9cb5007f190e1ab64e72ece21552025,Bacteria,1,Firmicutes,0.98,Clostridia,0.98,Clostridiales,0.97,NA,0.62,NA,0.61
f46f91ebbbb2067a04eb4b35c789d42c,Bacteria,1,NA,0.1,NA,0.06,NA,0.06,NA,0.06,NA,0.06
ee5c2103724d9853d3625a366e54572b,Bacteria,1,Bacteroidetes,0.95,NA,0.31,NA,0.31,NA,0.31,NA,0.16
0640db49bf111cf1a8d2bd4edb398013,Bacteria,1,Firmicutes,1,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.96,NA,0.28
06edb4dc1a204ff17b2b0e212b0930ea,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.99,Bacteroidales,0.99,Prevotellaceae,0.99,Prevotella,0.98
ca208f02ebe784f4f91e371d004c0e16,Bacteria,1,Firmicutes,1,Negativicutes,1,Selenomonadales,1,Acidaminococcaceae,1,Succiniclasticum,1
7050a329bedcd8fa4baf4a9186902a09,Bacteria,1,Firmicutes,0.81,NA,0.76,NA,0.76,NA,0.7,NA,0.3
c556748451ad8a91aeb735f2614c35a3,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Ruminococcus,1
bd76a49d886fb997ac1ebe893fce1432,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,NA,0.62
8b8aa2545bf3307c55ddf1f2b4018325,Bacteria,1,NA,0.76,NA,0.37,NA,0.31,NA,0.07,NA,0.06
d140a5db55f819b49134a93e8edf4013,Bacteria,1,Firmicutes,0.99,Bacilli,0.94,Lactobacillales,0.93,NA,0.65,NA,0.56
c93a5de1fa4b2f55e21fd3b0eaa2413b,Bacteria,1,NA,0.13,NA,0.13,NA,0.13,NA,0.13,NA,0.13
02c9ca666a5363c3746381c798593ecb,Bacteria,1,TM7,1,TM7_genera_incertae_sedis,1,TM7_genera_incertae_sedis,1,TM7_genera_incertae_sedis,1,TM7_genera_incertae_sedis,1
3c951d42b947c0be772b73505d83ae24,Bacteria,1,NA,0.12,NA,0.12,NA,0.12,NA,0.11,NA,0.11
dc72a6af002f896155a3b6d6dc0797e4,Bacteria,1,Actinobacteria,0.93,Actinobacteria,0.93,Coriobacteriales,0.9,Coriobacteriaceae,0.9,NA,0.05
113b81373811ac3478c3374f71b351f0,Bacteria,1,Firmicutes,0.99,Erysipelotrichia,0.86,Erysipelotrichales,0.86,Erysipelotrichaceae,0.86,NA,0.53
8afb083e42b5a18dcd456205cd43aa73,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Coriobacteriales,1,Coriobacteriaceae,1,NA,0.57
4399e44157c4e953e2dd1b0ccdb08572,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Coriobacteriales,1,Coriobacteriaceae,1,NA,0.78
c53c83d630314022ee071154bcd36c21,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.95,Bacteroidales,0.95,NA,0.42,NA,0.42
0a8ea1fcf2877ac258fd0ed9c2725072,Bacteria,1,NA,0.23,NA,0.22,NA,0.22,NA,0.21,NA,0.16
1314df66fe1e83a1aa913a8a9b22daba,Bacteria,1,Firmicutes,0.87,NA,0.59,NA,0.59,NA,0.54,NA,0.49
be4b1ba8411903eec12163f54ffb38b5,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.93,NA,0.79
0d2919575b264e5d2f17801f13b18d83,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.95,Bacteroidales,0.95,NA,0.38,NA,0.38
33033de4c86bfa90413907a5221e207e,Bacteria,1,Bacteroidetes,0.98,Bacteroidia,0.89,Bacteroidales,0.89,NA,0.66,NA,0.16
52b601a91dae46f9c388bc9b58cfbaac,Bacteria,1,Firmicutes,0.85,Clostridia,0.83,Clostridiales,0.83,NA,0.39,NA,0.21
3be2786a60e1b0b555e65500a1da93ad,Bacteria,1,Firmicutes,0.96,Negativicutes,0.82,Selenomonadales,0.82,Veillonellaceae,0.82,NA,0.67
7ccd6d9075f721b75b3afe43cd814c9d,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,0.94
da4ee34a1a64b244172f3eda5ac31dd4,Bacteria,1,Firmicutes,0.99,Erysipelotrichia,0.99,Erysipelotrichales,0.99,Erysipelotrichaceae,0.99,NA,0.4
f3af9a5249c1c43064ac3adc9c152d5d,Bacteria,1,Firmicutes,1,Erysipelotrichia,0.98,Erysipelotrichales,0.98,Erysipelotrichaceae,0.98,NA,0.52
476be7dd6539544c8fd1863ba17bd94e,Bacteria,1,Firmicutes,0.82,Clostridia,0.82,Clostridiales,0.82,NA,0.56,NA,0.26
26918ba4a5d2902d58f8fc25ee40d284,Bacteria,1,Bacteroidetes,0.99,NA,0.62,NA,0.62,NA,0.51,NA,0.17
acb362ccdd1c552dce66674fe7cfa045,Bacteria,1,NA,0.64,NA,0.61,NA,0.61,NA,0.24,NA,0.09
eb92886d8da4fe6037aef8c0df4b946a,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,NA,0.79,NA,0.48
3870b2ac5e9e19479bc866b0ab09bb4f,Bacteria,1,NA,0.74,NA,0.73,NA,0.7,NA,0.56,NA,0.52
9d925fe04a06ddc1768947a8b4fe7849,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,NA,0.79
0964702ba084b6d12f1c7ae14731aa84,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,Lachnospiraceae,0.89,NA,0.57
43a2f93834e958097bbd185d47e8a2fc,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.94,Bacteroidales,0.94,NA,0.51,NA,0.51
031e28f604cc55ee6de7447ba385d11f,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.99,Bacteroidales,0.99,Prevotellaceae,0.99,NA,0.7
