accession,day,animal,study
SRR8871075,27,pig,wang2019
SRR8871076,27,pig,wang2019
SRR8871077,27,pig,wang2019
SRR8871078,27,pig,wang2019
SRR8871079,27,pig,wang2019
SRR8871081,27,pig,wang2019
SRR8871082,27,pig,wang2019
SRR8871085,61,pig,wang2019
SRR8871086,61,pig,wang2019
SRR8871087,76,pig,wang2019
SRR8871088,61,pig,wang2019
SRR8871089,76,pig,wang2019
SRR8871090,61,pig,wang2019
SRR8871092,90,pig,wang2019
SRR8871093,76,pig,wang2019
SRR8871095,33,pig,wang2019
SRR8871099,20,pig,wang2019
SRR8871100,159,pig,wang2019
SRR8871101,159,pig,wang2019
SRR8871102,146,pig,wang2019
SRR8871103,174,pig,wang2019
SRR8871104,146,pig,wang2019
SRR8871105,159,pig,wang2019
SRR8871106,174,pig,wang2019
SRR8871107,159,pig,wang2019
SRR8871109,159,pig,wang2019
SRR8871111,174,pig,wang2019
SRR8871116,174,pig,wang2019
SRR8871121,90,pig,wang2019
SRR8871122,90,pig,wang2019
SRR8871124,90,pig,wang2019
SRR8871130,116,pig,wang2019
SRR8871131,104,pig,wang2019
SRR8871132,90,pig,wang2019
SRR8871133,11,pig,wang2019
SRR8871134,116,pig,wang2019
SRR8871135,116,pig,wang2019
SRR8871137,116,pig,wang2019
SRR8871138,116,pig,wang2019
SRR8871139,11,pig,wang2019
SRR8871146,130,pig,wang2019
SRR8871149,20,pig,wang2019
SRR8871151,41,pig,wang2019
SRR8871152,41,pig,wang2019
SRR8871164,50,pig,wang2019
SRR8871165,50,pig,wang2019
SRR8871169,50,pig,wang2019
SRR8871170,50,pig,wang2019
SRR8871171,50,pig,wang2019
SRR8871172,50,pig,wang2019
SRR8871175,20,pig,wang2019
SRR8871177,20,pig,wang2019
SRR8871178,33,pig,wang2019
SRR8871181,20,pig,wang2019
SRR8871183,33,pig,wang2019
SRR8871185,41,pig,wang2019
SRR8871187,20,pig,wang2019
SRR8871191,33,pig,wang2019
SRR8871192,41,pig,wang2019
SRR8871193,41,pig,wang2019
SRR8871194,41,pig,wang2019
SRR8871195,174,pig,wang2019
SRR8871198,130,pig,wang2019
SRR8871199,159,pig,wang2019
SRR8871200,146,pig,wang2019
