accession,group
SRR2085804,HM
SRR2085805,HM
SRR2085806,HM
SRR2085807,HM
SRR2085821,HM
SRR2085822,HM
SRR2085833,HM
SRR2085834,HM
SRR2085827,LM
SRR2085828,LM
SRR2085831,LM
SRR2085832,LM
SRR2085813,LM
SRR2085814,LM
SRR2085819,LM
SRR2085820,LM
