"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"ERR3201416_1","10677_min2k_bin.4359",27,11229,2,"ERR3201416_1.fastq",84525742,"Adult",0.00210717168557836
"ERR3201416_1","10677_0023_idba_bin.239",41,18483,1,"ERR3201416_1.fastq",84525742,"Adult",0.000640086318707986
"SRR5190275_1","Megasphaera_elsdenii_2410",31,13602,1006,"SRR5190275_1.fastq",20147392,"Calf",3.67093228776644
"SRR5190275_1","Megasphaera_hexanoica_MH",42,17547,683,"SRR5190275_1.fastq",20147392,"Calf",1.93196382927204
"SRR5190275_1","10674_0003_idba_bin.96",41,18645,394,"SRR5190275_1.fastq",20147392,"Calf",1.04885390075265
"SRR5190275_1","malmuthuge.128",41,18225,93,"SRR5190275_1.fastq",20147392,"Calf",0.253277479211017
"SRR5190275_1","malmuthuge.34",41,17973,275,"SRR5190275_1.fastq",20147392,"Calf",0.759439676911255
"SRR5190275_1","10677_0023_idba_bin.239",41,18483,60,"SRR5190275_1.fastq",20147392,"Calf",0.161123894446014
"SRR5190275_1","malmuthuge.158",35,15363,127,"SRR5190275_1.fastq",20147392,"Calf",0.410306931711254
"SRR5190275_1","malmuthuge.164",43,18489,56,"SRR5190275_1.fastq",20147392,"Calf",0.150333499827427
"SRR5190275_1","10675_0017_idba_bin.63",18,10164,2,"SRR5190275_1.fastq",20147392,"Calf",0.0097666697528718
"SRR5190275_1","10677_min2k_bin.3664",29,11922,2,"SRR5190275_1.fastq",20147392,"Calf",0.00832649147527168
"SRR5190275_1","10678_min2k_bin.2957",37,16101,1,"SRR5190275_1.fastq",20147392,"Calf",0.00308267906863515
"SRR5190275_1","malmuthuge.79",28,12450,1,"SRR5190275_1.fastq",20147392,"Calf",0.00398668399069032
"SRR5190275_1","10676_min2k_bin.3406",41,18084,9,"SRR5190275_1.fastq",20147392,"Calf",0.0247018326231393
"SRR5190275_1","10674_min2k_bin.1792",42,18066,3,"SRR5190275_1.fastq",20147392,"Calf",0.00824214807108843
"SRR5190275_1","10677_0023_idba_bin.13",41,18111,1,"SRR5190275_1.fastq",20147392,"Calf",0.00274055632952871
"ERR3201410_1","10678_0051_idba_bin.51",43,20247,440,"ERR3201410_1.fastq",77208255,"Adult",0.281467500595393
"ERR3201410_1","10677_0019_idba_bin.218",40,17688,206,"ERR3201410_1.fastq",77208255,"Adult",0.150842858514544
"ERR3201410_1","10676_0049_idba_bin.70",39,19470,1086,"ERR3201410_1.fastq",77208255,"Adult",0.722437259913462
"ERR3201410_1","malmuthuge.128",41,18225,2,"ERR3201410_1.fastq",77208255,"Adult",0.00142134243286069
"ERR3201410_1","10674_0009_idba_bin.117",37,20709,305,"ERR3201410_1.fastq",77208255,"Adult",0.190755458517076
"ERR3201410_1","10677_min2k_bin.4359",27,11229,4,"ERR3201410_1.fastq",77208255,"Adult",0.00461376183789937
